"id","soil_type","distance","capillary_rate"
"943","Hh","11","5.0e-05"
"944","Hh","10","0.0002"
"945","Hh","9","0.0002"
"946","Hh","8","0.0003"
"947","Hh","7","0.0004"
"948","Hh","6","0.0008"
"949","Hh","5","0.0013"
"950","Hh","4","0.002"
"951","Hh","3","0.003"
"952","Hh","2","0.005"
"953","Hh","1","0.005"
"954","Hn","2","0.004"
"955","Hn","3","0.0022"
"956","Hn","4","0.0011"
"957","Hn","5","0.0006"
"958","Hn","6","0.0003"
"959","Hn","7","0.0002"
"960","Hn","8","0.0001"
"961","Hn","9","5.0e-05"
"962","Hn","10","0.0"
"963","Hn","11","0.0"
"964","Hn","12","0.0"
"965","Hn","13","0.0"
"966","Hn","14","0.0"
"967","Hn","15","0.0"
"968","Hn","16","0.0"
"969","Hn","17","0.0"
"970","Hn","18","0.0"
"971","Hn","19","0.0"
"972","Hn","20","0.0"
"973","Hn","21","0.0"
"974","Hn","22","0.0"
"975","Hn","23","0.0"
"976","Hn","24","0.0"
"977","Hn","25","0.0"
"978","Hn","26","0.0"
"979","Hn","27","0.0"
"981","Hn","1","0.004"
