"id","soil_type","distance","capillary_rate"
"114","Sl2","4","0.0026"
"115","Sl3","4","0.005"
"116","Sl4","4","0.005"
"117","Slu","4","0.0055"
"118","St2","4","0.0029"
"119","St3","4","0.0029"
"120","fS","4","0.0055"
"121","gS","4","0.0005"
"122","mS","4","0.0016"
"123","Ss","4","0.0016"
"124","Us","4","0.0055"
"125","Uu","4","0.0055"
"126","Uls","4","0.0055"
"127","Ut2","4","0.0055"
"128","Ut3","4","0.0055"
"129","Ut4","4","0.0055"
"130","Ls2","4","0.0055"
"131","Ls3","4","0.0055"
"132","Ls4","4","0.0055"
"133","Lt2","4","0.0055"
"134","Lt3","4","0.0055"
"135","Lu","4","0.0055"
"136","Lts","4","0.0055"
"137","Tt","4","0.001"
"138","Tl","4","0.0013"
"139","Tu2","4","0.0013"
"140","Tu3","4","0.0024"
"141","Tu4","4","0.005"
"142","Ts2","4","0.002"
"143","Ts3","4","0.0029"
"144","Ts4","4","0.0029"
"145","Su2","5","0.005"
"146","Su3","5","0.0055"
"147","Su4","5","0.0055"
"148","Sl2","5","0.0013"
"149","Sl3","5","0.0025"
"150","Sl4","5","0.0036"
"151","Slu","5","0.005"
"152","St2","5","0.0018"
"153","St3","5","0.0018"
"154","fS","5","0.005"
"155","gS","5","0.0002"
"156","mS","5","0.0009"
"157","Ss","5","0.0009"
"158","Us","5","0.0055"
"159","Uu","5","0.0055"
"160","Uls","5","0.0055"
"161","Ut2","5","0.0055"
"162","Ut3","5","0.0055"
"163","Ut4","5","0.0055"
"164","Ls2","5","0.0055"
"165","Ls3","5","0.0055"
"166","Ls4","5","0.0055"
"167","Lt2","5","0.005"
"168","Lt3","5","0.005"
"169","Lu","5","0.0055"
"170","Lts","5","0.0005"
"171","Tt","5","0.0006"
"172","Tl","5","0.0008"
"173","Tu2","5","0.0008"
"174","Tu3","5","0.0014"
"175","Tu4","5","0.0024"
"176","Ts2","5","0.0012"
"177","Ts3","5","0.0018"
"178","Ts4","5","0.0018"
"179","Su2","6","0.003"
"180","Su3","6","0.005"
"181","Su4","6","0.0055"
"182","Sl2","6","0.0008"
"183","Sl3","6","0.0016"
"184","Sl4","6","0.0024"
"185","Slu","6","0.0036"
"186","St2","6","0.0011"
"187","St3","6","0.0011"
"188","fS","6","0.0033"
"189","gS","6","0.0001"
"190","mS","6","0.0005"
"191","Ss","6","0.0005"
"192","Us","6","0.0055"
"193","Uu","6","0.0055"
"194","Uls","6","0.0055"
"195","Ut2","6","0.0055"
"196","Ut3","6","0.0055"
"197","Ut4","6","0.0055"
"198","Ls2","6","0.0055"
"199","Ls3","6","0.005"
"200","Ls4","6","0.0036"
"201","Lt2","6","0.0038"
"202","Lt3","6","0.0034"
"203","Lu","6","0.005"
"204","Lts","6","0.0032"
"205","Tt","6","0.0004"
"206","Tl","6","0.0005"
"207","Tu2","6","0.0005"
"208","Tu3","6","0.0009"
"209","Tu4","6","0.0016"
"210","Ts2","6","0.0008"
"211","Ts3","6","0.0011"
"212","Ts4","6","0.0011"
"213","Su2","7","0.0022"
"214","Su3","7","0.0035"
"215","Su4","7","0.005"
"216","Sl2","7","0.0005"
"217","Sl3","7","0.0011"
"218","Sl4","7","0.0016"
"219","Slu","7","0.0026"
"220","St2","7","0.0007"
"221","St3","7","0.0007"
"222","fS","7","0.0022"
"223","gS","7","0.0"
"224","mS","7","0.0003"
"225","Ss","7","0.0003"
"226","Us","7","0.005"
"227","Uu","7","0.0055"
"228","Uls","7","0.0055"
"229","Ut2","7","0.0055"
"230","Ut3","7","0.0055"
"231","Ut4","7","0.005"
"232","Ls2","7","0.004"
"233","Ls3","7","0.0033"
"234","Ls4","7","0.0026"
"235","Lt2","7","0.0028"
"236","Lt3","7","0.0026"
"237","Lu","7","0.004"
"238","Lts","7","0.0022"
"239","Tt","7","0.0003"
"240","Tl","7","0.0004"
"241","Tu2","7","0.0004"
"242","Tu3","7","0.0007"
"243","Tu4","7","0.0012"
"244","Ts2","7","0.0005"
"245","Ts3","7","0.0007"
"246","Ts4","7","0.0007"
"247","Su2","8","0.0017"
"248","Su3","8","0.0028"
"249","Su4","8","0.0039"
"250","Sl2","8","0.0003"
"251","Sl3","8","0.0007"
"252","Sl4","8","0.0012"
"253","Slu","8","0.0019"
"254","St2","8","0.0005"
"255","St3","8","0.0005"
"256","fS","8","0.0014"
"257","gS","8","0.0"
"258","mS","8","0.0002"
"259","Ss","8","0.0002"
"260","Us","8","0.0041"
"261","Uu","8","0.0055"
"262","Uls","8","0.0055"
"263","Ut2","8","0.005"
"264","Ut3","8","0.005"
"265","Ut4","8","0.0036"
"266","Ls2","8","0.003"
"267","Ls3","8","0.0025"
"268","Ls4","8","0.002"
"269","Lt2","8","0.0022"
"270","Lt3","8","0.0019"
"271","Lu","8","0.0031"
"272","Lts","8","0.0016"
"273","Tt","8","0.0002"
"274","Tl","8","0.0003"
"275","Tu2","8","0.0003"
"276","Tu3","8","0.0005"
"277","Tu4","8","0.0008"
"278","Ts2","8","0.0004"
"279","Ts3","8","0.0005"
"280","Ts4","8","0.0005"
"281","Su2","9","0.0012"
"282","Su3","9","0.0022"
"283","Su4","9","0.0029"
"284","Sl2","9","0.0002"
"285","Sl3","9","0.0005"
"286","Sl4","9","0.0008"
"287","Slu","9","0.0015"
"288","St2","9","0.0004"
"289","St3","9","0.0004"
"290","fS","9","0.0009"
"291","gS","9","0.0"
"292","mS","9","0.0001"
"293","Ss","9","0.0001"
"294","Us","9","0.0033"
"295","Uu","9","0.0055"
"296","Uls","9","0.005"
"297","Ut2","9","0.0035"
"298","Ut3","9","0.0035"
"299","Ut4","9","0.0028"
"300","Ls2","9","0.0022"
"301","Ls3","9","0.002"
"302","Ls4","9","0.0015"
"303","Lt2","9","0.0017"
"304","Lt3","9","0.0015"
"305","Lu","9","0.0024"
"306","Lts","9","0.0012"
"307","Tt","9","0.0002"
"308","Tl","9","0.0002"
"309","Tu2","9","0.0002"
"310","Tu3","9","0.0004"
"311","Tu4","9","0.0006"
"312","Ts2","9","0.0003"
"313","Ts3","9","0.0004"
"314","Ts4","9","0.0004"
"315","Su2","10","0.001"
"316","Su3","10","0.0017"
"317","Su4","10","0.0023"
"318","Sl2","10","0.0001"
"319","Sl3","10","0.0003"
"320","Sl4","10","0.0006"
"321","Slu","10","0.0011"
"322","St2","10","0.0003"
"323","St3","10","0.0003"
"324","fS","10","0.0005"
"325","gS","10","0.0"
"326","mS","10","0.0"
"327","Ss","10","0.0"
"328","Us","10","0.0027"
"329","Uu","10","0.005"
"330","Uls","10","0.0044"
"331","Ut2","10","0.0028"
"332","Ut3","10","0.0028"
"333","Ut4","10","0.0022"
"334","Ls2","10","0.0017"
"335","Ls3","10","0.0015"
"336","Ls4","10","0.0012"
"337","Lt2","10","0.0013"
"338","Lt3","10","0.0012"
"339","Lu","10","0.0019"
"340","Lts","10","0.0009"
"341","Tt","10","0.0001"
"342","Tl","10","0.0001"
"343","Tu2","10","0.0001"
"344","Tu3","10","0.0003"
"345","Tu4","10","0.0005"
"346","Ts2","10","0.0002"
"347","Ts3","10","0.0003"
"348","Ts4","10","0.0003"
"349","Su2","11","0.0008"
"350","Su3","11","0.0014"
"351","Su4","11","0.0018"
"352","Sl2","11","0.0"
"353","Sl3","11","0.0002"
"354","Sl4","11","0.0004"
"355","Slu","11","0.0009"
"356","St2","11","0.0002"
"357","St3","11","0.0002"
"358","fS","11","0.0003"
"359","gS","11","0.0"
"360","mS","11","0.0"
"361","Ss","11","0.0"
"362","Us","11","0.0022"
"363","Uu","11","0.004"
"364","Uls","11","0.0036"
"365","Ut2","11","0.0023"
"366","Ut3","11","0.0022"
"367","Ut4","11","0.0018"
"368","Ls2","11","0.0013"
"369","Ls3","11","0.0012"
"370","Ls4","11","0.0009"
"371","Lt2","11","0.0011"
"372","Lt3","11","0.001"
"373","Lu","11","0.0015"
"374","Lts","11","0.0007"
"375","Tt","11","0.0"
"376","Tl","11","0.0"
"377","Tu2","11","0.0"
"378","Tu3","11","0.0003"
"379","Tu4","11","0.0004"
"380","Ts2","11","0.0002"
"381","Ts3","11","0.0002"
"382","Ts4","11","0.0002"
"383","Su2","12","0.0006"
"384","Su3","12","0.0012"
"385","Su4","12","0.0015"
"386","Sl2","12","0.0"
"387","Sl3","12","0.0001"
"388","Sl4","12","0.0003"
"389","Slu","12","0.0007"
"390","St2","12","0.0001"
"391","St3","12","0.0001"
"392","fS","12","0.0002"
"393","gS","12","0.0"
"394","mS","12","0.0"
"395","Ss","12","0.0"
"396","Us","12","0.0018"
"397","Uu","12","0.0033"
"398","Uls","12","0.003"
"399","Ut2","12","0.0019"
"400","Ut3","12","0.0018"
"401","Ut4","12","0.0015"
"402","Ls2","12","0.0009"
"403","Ls3","12","0.001"
"404","Ls4","12","0.0007"
"405","Lt2","12","0.0009"
"406","Lt3","12","0.0008"
"407","Lu","12","0.0012"
"408","Lts","12","0.0005"
"409","Tt","12","0.0"
"410","Tl","12","0.0"
"411","Tu2","12","0.0"
"412","Tu3","12","0.0002"
"413","Tu4","12","0.0003"
"414","Ts2","12","0.0001"
"415","Ts3","12","0.0001"
"416","Ts4","12","0.0001"
"417","Su2","13","0.0005"
"418","Su3","13","0.0009"
"419","Su4","13","0.0012"
"420","Sl2","13","0.0"
"421","Sl3","13","0.0"
"422","Sl4","13","0.0002"
"423","Slu","13","0.0005"
"424","St2","13","0.0"
"425","St3","13","0.0"
"426","fS","13","0.0001"
"427","gS","13","0.0"
"428","mS","13","0.0"
"429","Ss","13","0.0"
"430","Us","13","0.0015"
"431","Uu","13","0.0028"
"432","Uls","13","0.0026"
"433","Ut2","13","0.0015"
"434","Ut3","13","0.0015"
"435","Ut4","13","0.0012"
"436","Ls2","13","0.0007"
"437","Ls3","13","0.0008"
"438","Ls4","13","0.0006"
"439","Lt2","13","0.0007"
"440","Lt3","13","0.0007"
"441","Lu","13","0.001"
"442","Lts","13","0.0004"
"443","Tt","13","0.0"
"444","Tl","13","0.0"
"445","Tu2","13","0.0"
"446","Tu3","13","0.0002"
"447","Tu4","13","0.0003"
"448","Ts2","13","0.0"
"449","Ts3","13","0.0"
"450","Ts4","13","0.0"
"451","Su2","14","0.0004"
"452","Su3","14","0.0008"
"453","Su4","14","0.0009"
"454","Sl2","14","0.0"
"455","Sl3","14","0.0"
"456","Sl4","14","0.0001"
"457","Slu","14","0.0004"
"458","St2","14","0.0"
"459","St3","14","0.0"
"460","fS","14","0.0"
"461","gS","14","0.0"
"462","mS","14","0.0"
"463","Ss","14","0.0"
"464","Us","14","0.0012"
"465","Uu","14","0.0024"
"466","Uls","14","0.0022"
"467","Ut2","14","0.0013"
"468","Ut3","14","0.0013"
"469","Ut4","14","0.001"
"470","Ls2","14","0.0005"
"471","Ls3","14","0.0007"
"472","Ls4","14","0.0005"
"473","Lt2","14","0.0005"
"474","Lt3","14","0.0006"
"475","Lu","14","0.0008"
"476","Lts","14","0.0003"
"477","Tt","14","0.0"
"478","Tl","14","0.0"
"479","Tu2","14","0.0"
"480","Tu3","14","0.0001"
"481","Tu4","14","0.0002"
"482","Ts2","14","0.0"
"483","Ts3","14","0.0"
"484","Ts4","14","0.0"
"485","Su2","15","0.0003"
