day,month,year,tavg,precip,globrad
1,1,1992,0.9,0,58.4
2,1,1992,5.5,0,108.5
3,1,1992,4.2,0,297
4,1,1992,4.6,0,70.5
5,1,1992,3.5,0,119.8
6,1,1992,3.3,0,82.7
7,1,1992,4.9,0,192.8
8,1,1992,3.3,0,177.8
9,1,1992,5.8,0,86
10,1,1992,-0.1,2.1,125.7
11,1,1992,-3.9,0,343.5
12,1,1992,0.6,0,76.8
13,1,1992,-1,0,109.8
14,1,1992,4,1.2,23.5
15,1,1992,5.6,0,53.4
16,1,1992,4.6,0.3,47.9
17,1,1992,1.3,0,135.6
18,1,1992,3.4,0.8,68.9
19,1,1992,3.6,13.4,54.7
20,1,1992,-5.3,0,187.6
21,1,1992,-7.3,0,396.8
22,1,1992,-8,0,333.8
23,1,1992,-7.4,0,306.1
24,1,1992,-5.9,0,306.7
25,1,1992,-6.5,0,100.8
26,1,1992,-3.2,0.1,66.2
27,1,1992,0,0.1,118
28,1,1992,-0.7,0,127.9
29,1,1992,0.6,0,88.7
30,1,1992,1.4,0,228.2
31,1,1992,-0.8,0,59.3
1,2,1992,-0.5,0,60.9
2,2,1992,-0.6,0,66.5
3,2,1992,0.9,4.5,134.2
4,2,1992,2,0.2,312.8
5,2,1992,1.8,0.9,108.7
6,2,1992,3.3,1,96.1
7,2,1992,7.2,0,164.1
8,2,1992,3.8,0,202.6
9,2,1992,2.1,0,577.7
10,2,1992,3,0.4,315.4
11,2,1992,3.2,3.3,125.9
12,2,1992,5.8,0.4,319.2
13,2,1992,7.6,2,251.6
14,2,1992,3.9,2.7,346.6
15,2,1992,5.2,5.4,203.5
16,2,1992,2.6,0.3,217
17,2,1992,-1.3,0,451.7
18,2,1992,-3,0,434.3
19,2,1992,-0.1,0.2,240.3
20,2,1992,-0.3,0,520.8
21,2,1992,2.4,1.1,174.9
22,2,1992,3.9,0.1,358.7
23,2,1992,4.9,4.4,163.5
24,2,1992,3.5,0,723.6
25,2,1992,2.6,0,329.4
26,2,1992,4.2,0,603.9
27,2,1992,4.7,0,674.9
28,2,1992,4.4,0,705.6
29,2,1992,7.1,0,682
1,3,1992,7.2,0,932.6
2,3,1992,5.6,1.1,502.5
3,3,1992,5.2,4.2,288.8
4,3,1992,7.4,0,1010.5
5,3,1992,6.7,0,927.4
6,3,1992,6.4,4.8,215.4
7,3,1992,6.6,0.2,379.2
8,3,1992,5.6,0,1034.2
9,3,1992,4.9,0,1067.6
10,3,1992,5.4,0,1044.6
11,3,1992,4.6,2.8,590.8
12,3,1992,3.6,7.7,345.9
13,3,1992,3,7.2,234.4
14,3,1992,1.6,0,851.9
15,3,1992,0.5,1.1,879.3
16,3,1992,2.3,0,960.1
17,3,1992,1.7,0,697.4
18,3,1992,6.1,0,806.9
19,3,1992,5.8,0.3,942.6
20,3,1992,6.4,6.8,369.7
21,3,1992,8.4,7.5,377.3
22,3,1992,5.2,8.1,712.2
23,3,1992,3.6,2.3,889
24,3,1992,2.8,0,716.2
25,3,1992,2,12.9,124
26,3,1992,3.8,0.3,823.1
27,3,1992,2.3,1.4,351.9
28,3,1992,1.8,5.5,642.2
29,3,1992,1.5,0.1,743.7
30,3,1992,1.8,0,863.1
31,3,1992,5.9,0,1495
1,4,1992,7.3,2.9,951.7
2,4,1992,7,0,1365.9
3,4,1992,6.1,1.6,1170.6
4,4,1992,5.4,0,953.7
5,4,1992,3.7,0,1218
6,4,1992,3.5,0,858.5
7,4,1992,9.9,0,1531.8
8,4,1992,13.4,0,1788.3
9,4,1992,5.8,0,1338.2
10,4,1992,6.2,0,1704.8
11,4,1992,9.5,0,1217.2
12,4,1992,11.1,0,1293.6
13,4,1992,8.6,1.5,1249.6
14,4,1992,6.3,6.3,956.4
15,4,1992,8.8,0.7,625.2
16,4,1992,5.5,0.9,640.9
17,4,1992,3,0.4,1516.5
18,4,1992,6.1,2.5,1077.5
19,4,1992,8.5,2,1632.7
20,4,1992,5.8,0,1687.6
21,4,1992,6.2,0,2207.5
22,4,1992,8.8,0,1753.6
23,4,1992,5.9,1.3,670.5
24,4,1992,10.3,0,1320.4
25,4,1992,16.3,0,1825.1
26,4,1992,14.4,6.9,1291.7
27,4,1992,13.1,0.4,1484.4
28,4,1992,11.6,0,1410.1
29,4,1992,10.6,7.3,883.1
30,4,1992,8.9,0,1647.8
1,5,1992,12.1,0.1,1781.6
2,5,1992,8.5,1.4,733
3,5,1992,8.8,0,1568.7
4,5,1992,8,0,2321.8
5,5,1992,9.4,0,2539.6
6,5,1992,12.3,0,2249.7
7,5,1992,13.2,2,616.8
8,5,1992,14.5,0,706.8
9,5,1992,14.5,0,706.8
10,5,1992,14.5,0,706.8
11,5,1992,14.5,0,706.8
12,5,1992,14.5,0,706.8
13,5,1992,14.5,0,706.8
14,5,1992,19.3,0,940.5
15,5,1992,13.5,0,738.3
16,5,1992,14.5,0,706.8
17,5,1992,14.2,0,1909
18,5,1992,12.3,0,2672.2
19,5,1992,14.5,0,706.8
20,5,1992,20.7,0,2553
21,5,1992,19,0,2486.6
22,5,1992,19.8,0,2399.6
23,5,1992,19.6,0,2504.6
24,5,1992,17.5,0,2756.7
25,5,1992,16.2,0,2769.2
26,5,1992,15.3,0,2506.5
27,5,1992,16.9,10.4,2281.9
28,5,1992,15.4,0.1,2738.8
29,5,1992,16.1,0,2131.9
30,5,1992,17.2,0,2513.1
31,5,1992,17.9,0,2583
1,6,1992,19.6,0,2092.1
2,6,1992,22,0,2501
3,6,1992,20,0,1187.1
4,6,1992,21.9,0,2583.4
5,6,1992,21.7,0,2604.8
6,6,1992,18.3,1.4,1681.6
7,6,1992,18.3,0,2428.5
8,6,1992,18.4,0.2,2268.1
9,6,1992,18.2,4.4,1845.7
10,6,1992,13.2,0.4,1458.7
11,6,1992,13,4.5,1006.2
12,6,1992,15,8,895.4
13,6,1992,16,0,2316.7
14,6,1992,19.3,0,2631
15,6,1992,20.3,0,1508.8
16,6,1992,18.8,0,1588.6
17,6,1992,18.3,0,2650.3
18,6,1992,17.2,0,2123.6
19,6,1992,20,0,2670.8
20,6,1992,21,0,2283.1
21,6,1992,20.5,0,2469.9
22,6,1992,17.5,0,2512.3
23,6,1992,17.6,0,2742.9
24,6,1992,18,0,2596.6
25,6,1992,18.3,0,2491.6
26,6,1992,17.5,0,2881.8
27,6,1992,18.9,0,2784.3
28,6,1992,20.1,0,2470.6
29,6,1992,22.3,0,2653
30,6,1992,23.8,0.3,2441.3
1,7,1992,25.4,0,2466
2,7,1992,22,0,1758.8
3,7,1992,19.9,0,2259.4
4,7,1992,19.9,11.1,1356.4
5,7,1992,18.9,0.2,977
6,7,1992,14.3,1.9,427.6
7,7,1992,17.1,0,1520.5
8,7,1992,19,0,2378.6
9,7,1992,21.3,0,2141.2
10,7,1992,21.6,0,2190.3
11,7,1992,19.5,0.9,1434.6
12,7,1992,18.9,0.8,1549.3
13,7,1992,18.6,0,2063.9
14,7,1992,17.2,2.6,886.6
15,7,1992,15.8,0,1657.7
16,7,1992,15.2,0,1879
17,7,1992,20.1,4.5,1840.2
18,7,1992,19.2,2.8,1526
19,7,1992,19.5,0,2277.7
20,7,1992,24.7,0,2318
21,7,1992,27.6,0,2470.1
22,7,1992,20.2,7.1,1308.8
23,7,1992,20.3,0,2068.6
24,7,1992,20.4,0,2612.8
25,7,1992,20.8,2.7,2234
26,7,1992,19.1,0,1925.2
27,7,1992,21.6,0.9,2032.6
28,7,1992,16.4,0,1734.4
29,7,1992,17,0,2497.2
30,7,1992,22.3,0,2385.4
31,7,1992,21.6,0,1672.1
1,8,1992,22.1,0,1946.6
2,8,1992,22.7,0,1599.5
3,8,1992,24,0,1817.8
4,8,1992,20.6,0,1755.4
5,8,1992,19.5,0,2217.1
6,8,1992,23.9,0,2291
7,8,1992,21.1,0,2152.6
8,8,1992,24.1,6.7,1842.4
9,8,1992,27.5,0,2008.8
10,8,1992,27.8,0.4,2016.4
11,8,1992,19.9,1,1808.5
12,8,1992,20,0,1894.3
13,8,1992,16.2,5.8,840.7
14,8,1992,15.2,3.5,666
15,8,1992,14.6,0,873.5
16,8,1992,16,0,1874.6
17,8,1992,15.5,0.8,495.9
18,8,1992,16.3,0,1637.5
19,8,1992,19.2,0,1646.2
20,8,1992,21.2,1.8,1722.9
21,8,1992,19.8,1.9,1203.7
22,8,1992,17.3,0,2049.4
23,8,1992,15.8,8.3,1045.1
24,8,1992,16,0,1327.2
25,8,1992,18.6,2.1,816.4
26,8,1992,20,5.1,1272.2
27,8,1992,19.1,0.1,994
28,8,1992,24.2,0,1775.3
29,8,1992,22.6,0,1638.4
30,8,1992,15.8,1.5,589.2
31,8,1992,16.9,13.9,944.2
1,9,1992,12.2,5.8,644.9
2,9,1992,13.4,0,1460.5
3,9,1992,16.2,1.5,808.1
4,9,1992,12,0.2,1018.1
5,9,1992,10.5,5.9,870
6,9,1992,11.7,0,1387.3
7,9,1992,12.6,0,1754.2
8,9,1992,12.8,1.7,821.4
9,9,1992,11.3,0,1234
10,9,1992,13.4,0,1708.1
11,9,1992,14.5,0,1181.5
12,9,1992,13.4,0,801.8
13,9,1992,12.9,0.1,1344.2
14,9,1992,13.9,0.1,568.6
15,9,1992,13.1,0,790.9
16,9,1992,14.9,0,592.5
17,9,1992,12.4,0,1527.2
18,9,1992,11.2,0,1599.5
19,9,1992,12.1,0,1509.7
20,9,1992,12.3,0.8,805.5
21,9,1992,13.7,0.1,1335.5
22,9,1992,15.9,0,1337.8
23,9,1992,16.5,0,1253
24,9,1992,14.8,0.5,283.9
25,9,1992,14.3,0,556.5
26,9,1992,14,0,1260.5
27,9,1992,13.3,0,1276.6
28,9,1992,14.1,0,1234.2
29,9,1992,11.6,0,1275.5
30,9,1992,10.4,0,669.1
1,10,1992,8.5,0,989
2,10,1992,8.2,0,1089.1
3,10,1992,10.3,0,1083.4
4,10,1992,9.6,0,1067
5,10,1992,7.7,0.9,407.2
6,10,1992,11,6.2,120.2
7,10,1992,9.8,0,223.3
8,10,1992,6.9,0,468.4
9,10,1992,8.9,0.7,297.8
10,10,1992,5,0,988.7
11,10,1992,4.8,0.2,314.2
12,10,1992,3.1,0,1065.7
13,10,1992,1,0,1098.9
14,10,1992,4.7,0,911.5
15,10,1992,5.5,4.9,224.5
16,10,1992,4.4,0,529.8
17,10,1992,2.6,0,632.8
18,10,1992,2.5,0,840.7
19,10,1992,4.5,0,891.7
20,10,1992,4.2,0,907.4
21,10,1992,5.2,0.1,682.1
22,10,1992,4.2,0.6,311.6
23,10,1992,3,0.5,597.4
24,10,1992,4.7,4,272.2
25,10,1992,4.6,3.3,450.5
26,10,1992,2.8,4.5,56.3
27,10,1992,-0.4,0,212.8
28,10,1992,4.2,4.9,122.7
29,10,1992,5,2,298.3
30,10,1992,3.7,0.1,340
31,10,1992,-2.1,0,354.2
1,11,1992,-0.1,0,393.8
2,11,1992,2.7,0,696.2
3,11,1992,7,3.3,322.3
4,11,1992,5.1,2.9,295.1
5,11,1992,7.7,0.8,130.5
6,11,1992,10.9,0,105.4
7,11,1992,10.6,1.6,74.5
8,11,1992,3.3,0.1,547.4
9,11,1992,-0.7,0,631.4
10,11,1992,4.1,0.5,171.6
11,11,1992,6.8,4.5,384.1
12,11,1992,5.8,2.6,326.2
13,11,1992,2.4,5.5,140.1
14,11,1992,1.6,3.6,179
15,11,1992,0.6,0,171.5
16,11,1992,3.2,0.2,136.6
17,11,1992,4.4,0.3,218.9
18,11,1992,3.6,3.6,75.1
19,11,1992,3.6,7.9,163
20,11,1992,4.2,0.1,156.1
21,11,1992,2.8,1.1,257.3
22,11,1992,0.8,0,154.2
23,11,1992,0.7,0.5,63.8
24,11,1992,5.7,1.9,214.4
25,11,1992,6.6,1.5,102.1
26,11,1992,7.1,7.5,113.6
27,11,1992,4.2,1.4,236.2
28,11,1992,3.9,4.3,50.6
29,11,1992,1.9,0,100.7
30,11,1992,2.5,0,325.6
1,12,1992,4.3,0.1,116.5
2,12,1992,3.9,5.6,302.6
3,12,1992,6.2,0,187.1
4,12,1992,5.1,3.4,322.9
5,12,1992,2,0,203.6
6,12,1992,1,0,237.2
7,12,1992,0.7,0,227.9
8,12,1992,1.7,0,87
9,12,1992,2.2,0,41
10,12,1992,2.8,0,38.5
11,12,1992,2.2,2.4,50.3
12,12,1992,3.3,8.8,144.4
13,12,1992,2.8,0,166
14,12,1992,6,4.5,70.6
15,12,1992,5,0,271.7
16,12,1992,0.3,0,317.9
17,12,1992,-0.9,0,296.6
18,12,1992,-0.9,0,294.4
19,12,1992,1.4,2.4,84.1
20,12,1992,1.1,10.8,39.3
21,12,1992,-0.1,0,105.7
22,12,1992,-3.1,0,107.2
23,12,1992,-4.7,0,320
24,12,1992,-7.8,0,324.4
25,12,1992,-9.5,0,244.4
26,12,1992,-10.2,0,264.6
27,12,1992,-2.7,0,296.5
28,12,1992,-6.4,0,331.4
29,12,1992,-4.5,0,64.3
30,12,1992,-2.1,0,60.2
31,12,1992,-2.1,0,60.2
1,1,1993,-8,0,380.8
2,1,1993,-10.9,0,395.3
3,1,1993,-14,0,323.9
4,1,1993,-12.7,0,334.7
5,1,1993,-6.3,0,350
6,1,1993,2.7,1.6,46.7
7,1,1993,3.3,8.2,147.8
8,1,1993,2.7,0.5,151
9,1,1993,1.8,3.7,286.6
10,1,1993,7.8,0.6,147.2
11,1,1993,9.4,1.8,143.2
12,1,1993,4.3,10.2,61.4
13,1,1993,4,2.2,338.9
14,1,1993,7.3,0.8,226.5
15,1,1993,3.5,0,322.3
16,1,1993,10.6,0,279.9
17,1,1993,9.8,0,453.1
18,1,1993,6,0,255
19,1,1993,2.9,0.6,233.1
20,1,1993,6.7,2.6,89.5
21,1,1993,8.1,0.6,338.9
22,1,1993,9.3,1,136.2
23,1,1993,4.8,0.9,307.6
24,1,1993,7.8,3.4,190.9
25,1,1993,2.1,1.9,166.7
26,1,1993,0.7,3.5,78.5
27,1,1993,-2.1,3.2,701.5
28,1,1993,-2.9,0,329.6
29,1,1993,-4.6,0,312.4
30,1,1993,-6,0,600
31,1,1993,-6.5,0,758.1
1,2,1993,-4.8,0,186.5
2,2,1993,-3.2,0,504.4
3,2,1993,-1.3,0,214.5
4,2,1993,-1.2,0,565
5,2,1993,0.1,0,168.9
6,2,1993,1.7,2.7,86.3
7,2,1993,0.2,0,513.5
8,2,1993,1.4,0.1,286.4
9,2,1993,2.5,0,137.9
10,2,1993,0.2,0,108.3
11,2,1993,-0.6,0,163.6
12,2,1993,0.9,0,662.1
13,2,1993,-0.9,0,79.9
14,2,1993,0.5,0,260.6
15,2,1993,0.7,0,421.4
16,2,1993,-1,0.5,264.3
17,2,1993,2.2,4.9,164.3
18,2,1993,2,0,546.2
19,2,1993,2.7,6.4,295.6
20,2,1993,1.6,3.3,800.9
21,2,1993,-1.1,9.9,414.3
22,2,1993,-6.1,0.1,1076.8
23,2,1993,-4.1,0.1,838.3
24,2,1993,-0.7,0.4,307.9
25,2,1993,-0.8,0.5,227.2
26,2,1993,-2.6,0.2,678.3
27,2,1993,-2.9,0.1,654.8
28,2,1993,-1.5,0,543.8
1,3,1993,-0.1,0,985.3
2,3,1993,-1.7,0,956.3
3,3,1993,-4.6,0,781.1
4,3,1993,-5.6,0.3,789.4
5,3,1993,-4.6,0.1,675.6
6,3,1993,2.2,0.2,805.1
7,3,1993,1.7,0,905.9
8,3,1993,-0.4,0,872.8
9,3,1993,-0.8,0,1281.9
10,3,1993,2.4,0,1168
11,3,1993,1.7,0,897.4
12,3,1993,2.6,0,832
13,3,1993,5.7,0,823.7
14,3,1993,6.5,0,1082.8
15,3,1993,7.3,0,1141.9
16,3,1993,10.7,1.6,897.5
17,3,1993,8.2,0.7,216.4
18,3,1993,10.2,1.3,256.1
19,3,1993,5.7,0,965.3
20,3,1993,6.5,0,1175.6
21,3,1993,7.7,0,1355.5
22,3,1993,10.4,2.8,867.3
23,3,1993,7.6,1.7,872.1
24,3,1993,4.8,0,1564.1
25,3,1993,2.1,1.5,787.9
26,3,1993,0.7,0,1096.7
27,3,1993,-0.7,2.7,1005.5
28,3,1993,0.5,0,1096.5
29,3,1993,0.2,0.2,543.6
30,3,1993,0.9,0.1,475.1
31,3,1993,3.4,0,1503.6
1,4,1993,5.4,0,1271.9
2,4,1993,5.1,0,1749.5
3,4,1993,5.1,0,263.4
4,4,1993,5.6,0,751.7
5,4,1993,6.1,0.1,997.9
6,4,1993,6.3,8.4,701.2
7,4,1993,6.4,3.5,770
8,4,1993,4.9,0.1,217.2
9,4,1993,1.6,0,1005.3
10,4,1993,0.7,0,1983.5
11,4,1993,2.2,0,2095.7
12,4,1993,3.9,0,1979.9
13,4,1993,5.6,0,1755.1
14,4,1993,8.2,0,1578.5
15,4,1993,8.4,0,1907.5
16,4,1993,7.1,0,1913.2
17,4,1993,10,0,1680.4
18,4,1993,9.9,7,705.4
19,4,1993,7.2,0.1,1841.5
20,4,1993,6.9,0,1782.2
21,4,1993,14.5,0,1941.2
22,4,1993,15.8,0,1769.9
23,4,1993,15.6,0,1819.9
24,4,1993,18,0,2033
25,4,1993,20.1,0,2012.6
26,4,1993,20.5,0,2127.4
27,4,1993,18.8,0,1980.5
28,4,1993,18.6,0,2068.9
29,4,1993,18.9,0,2175.8
30,4,1993,18.7,0,2195.9
1,5,1993,18.5,0,2175.1
2,5,1993,16.8,1.1,1801.6
3,5,1993,11.5,0,546.5
4,5,1993,9.2,0,2236.2
5,5,1993,9.4,0.1,2091.1
6,5,1993,8.3,0.6,487.4
7,5,1993,15.3,0.1,1995.3
8,5,1993,17.6,0,2167.5
9,5,1993,18.5,0,2115.8
10,5,1993,17.8,0,1987.6
11,5,1993,19.2,0,2055.8
12,5,1993,19.4,0,2294
13,5,1993,17.4,0,1242
14,5,1993,21.5,1.7,1572.4
15,5,1993,16.4,0,2058
16,5,1993,13,0.1,1998.6
17,5,1993,14.7,0,2613.1
18,5,1993,17,0,2644.3
19,5,1993,20.3,0,2412.1
20,5,1993,22,0,2356.2
21,5,1993,18.7,5.5,1257.2
22,5,1993,12.8,5.4,309.2
23,5,1993,14.9,0,1137.6
24,5,1993,16.4,0,1918.8
25,5,1993,17.6,0,2367.2
26,5,1993,13.1,0,824.2
27,5,1993,11.3,17.1,539.5
28,5,1993,13.4,2.7,986.9
29,5,1993,11.4,0.9,1117.1
30,5,1993,16.4,4.6,2334.9
31,5,1993,14.9,3.3,2108.4
1,6,1993,14.7,0,2120.7
2,6,1993,16.5,0,2258.9
3,6,1993,15,1.8,795.8
4,6,1993,15.6,0,2714.8
5,6,1993,16.3,0,2873.9
6,6,1993,18.9,0,2194
7,6,1993,17.6,0,2623.9
8,6,1993,17.2,0,2338.4
9,6,1993,19.1,0,2800.1
10,6,1993,22.2,0,2601.9
11,6,1993,21.2,0,1289.1
12,6,1993,14.1,36.1,282.3
13,6,1993,11.8,33,245.9
14,6,1993,13.1,0,1537
15,6,1993,12.5,0.1,1750.3
16,6,1993,12.5,0.1,1174.4
17,6,1993,13.9,2.4,1473.2
18,6,1993,14.9,0,1315.4
19,6,1993,15.3,5.8,522.3
20,6,1993,15.1,1,1837.9
21,6,1993,14.1,0,2471.5
22,6,1993,14.7,0,1701.4
23,6,1993,14.1,7,1101
24,6,1993,11.7,4.9,1677.8
25,6,1993,11.1,1.7,1569.5
26,6,1993,11.5,0,1582.7
27,6,1993,12.5,1,1237.9
28,6,1993,12.9,2.3,1613.2
29,6,1993,15.3,0.1,2049.2
30,6,1993,14.7,0,2564.8
1,7,1993,14.3,0,2608.1
2,7,1993,18.7,0,2733.1
3,7,1993,19.3,0,2066.1
4,7,1993,20.2,0,1397.8
5,7,1993,17.3,4.4,1335.8
6,7,1993,13,4.4,1329.3
7,7,1993,13,4.3,1579.6
8,7,1993,14.3,0,1885.1
9,7,1993,18.9,0,2642.8
10,7,1993,18,1.2,1447.1
11,7,1993,11.5,26.3,302.9
12,7,1993,13.2,0.9,1796.9
13,7,1993,12.5,0.5,1834.7
14,7,1993,14.8,0,2129.5
15,7,1993,14.7,11.9,618.8
16,7,1993,16.5,3.7,2141.9
17,7,1993,18,8.8,1692.9
18,7,1993,17.7,0,2152.3
19,7,1993,18,0,1612.5
20,7,1993,16.8,3.4,1665
21,7,1993,13.9,0.8,952.7
22,7,1993,14.1,2.3,1849.4
23,7,1993,14.6,1.1,1337.2
24,7,1993,17.9,3.3,1380.7
25,7,1993,17.1,1,1345.3
26,7,1993,13.8,1.1,1884.5
27,7,1993,12.9,2.9,985.7
28,7,1993,14.9,5.2,975.2
29,7,1993,16.8,0.1,1453.6
30,7,1993,22.4,0,1845.2
31,7,1993,17.2,8.2,913.6
1,8,1993,15.6,0,1934.2
2,8,1993,18.6,0,2123.1
