"day","month","year","tavg","precip","globrad"
1,1,1951,-3.8,1.5,297
2,1,1951,-2.5,0,208
3,1,1951,-0.2,0,141
4,1,1951,0.6,0,198
5,1,1951,2.4,4.8,158
6,1,1951,4.4,1.9,35
7,1,1951,5.4,1.1,48
8,1,1951,3.9,0.7,93
9,1,1951,3.5,5.2,133
10,1,1951,1.6,0,370
11,1,1951,6.2,0,96
12,1,1951,7.1,0.6,247
13,1,1951,2.9,0,225
14,1,1951,4.4,2,350
15,1,1951,2.5,5,83
16,1,1951,0.4,0,232
17,1,1951,1.9,8,223
18,1,1951,4,12.6,75
19,1,1951,3.4,14.6,207
20,1,1951,2.5,0,130
21,1,1951,-2.2,0,460
22,1,1951,-1.2,0.7,196
23,1,1951,2.1,0.9,100
24,1,1951,-1.8,0.1,68
25,1,1951,-5.7,0,510
26,1,1951,-6,1.6,75
27,1,1951,0,0,262
28,1,1951,-2.3,0,165
29,1,1951,0.2,0,216
30,1,1951,-3.6,0,550
31,1,1951,-4.4,0,420
1,2,1951,-2,0,220
2,2,1951,-4,0,168
3,2,1951,-3.7,0,497
4,2,1951,-0.6,0,270
5,2,1951,1,0,430
6,2,1951,2.4,0,460
7,2,1951,4.4,0,552
8,2,1951,4.6,0,585
9,2,1951,6.4,0,619
10,2,1951,4.5,0,385
11,2,1951,3.4,0,570
12,2,1951,2.9,0,156
13,2,1951,1.3,0.2,131
14,2,1951,0.2,6.8,64
15,2,1951,1.1,0,247
16,2,1951,0.1,7.9,83
17,2,1951,3.6,6.4,550
18,2,1951,2.8,4.2,472
19,2,1951,4.4,2.4,668
20,2,1951,3.6,1.4,570
21,2,1951,4,0.2,337
22,2,1951,2,0,504
23,2,1951,2.6,0.9,465
24,2,1951,3.5,0,595
25,2,1951,2.6,0,688
26,2,1951,-0.4,0,158
27,2,1951,-0.6,1,455
28,2,1951,-0.8,0,317
1,3,1951,-2.2,6.7,198
2,3,1951,-1.1,0,746
3,3,1951,-3.4,0,1179
4,3,1951,-2.8,0,1215
